"id","owner_id","vocabulary_id","local_name","label","comment"
"1","","1","Agent","Agent","A resource that acts or has the power to act."
"2","","1","AgentClass","Agent Class","A group of agents."
"3","","1","BibliographicResource","Bibliographic Resource","A book, article, or other documentary resource."
"4","","1","FileFormat","File Format","A digital resource format."
"5","","1","Frequency","Frequency","A rate at which something recurs."
"6","","1","Jurisdiction","Jurisdiction","The extent or range of judicial, law enforcement, or other authority."
"7","","1","LicenseDocument","License Document","A legal document giving official permission to do something with a Resource."
"8","","1","LinguisticSystem","Linguistic System","A system of signs, symbols, sounds, gestures, or rules used in communication."
"9","","1","Location","Location","A spatial region or named place."
"10","","1","LocationPeriodOrJurisdiction","Location, Period, or Jurisdiction","A location, period of time, or jurisdiction."
"11","","1","MediaType","Media Type","A file format or physical medium."
"12","","1","MediaTypeOrExtent","Media Type or Extent","A media type or extent."
"13","","1","MethodOfInstruction","Method of Instruction","A process that is used to engender knowledge, attitudes, and skills."
"14","","1","MethodOfAccrual","Method of Accrual","A method by which resources are added to a collection."
"15","","1","PeriodOfTime","Period of Time","An interval of time that is named or defined by its start and end dates."
"16","","1","PhysicalMedium","Physical Medium","A physical material or carrier."
"17","","1","PhysicalResource","Physical Resource","A material thing."
"18","","1","Policy","Policy","A plan or course of action by an authority, intended to influence and determine decisions, actions, and other matters."
"19","","1","ProvenanceStatement","Provenance Statement","A statement of any changes in ownership and custody of a resource since its creation that are significant for its authenticity, integrity, and interpretation."
"20","","1","RightsStatement","Rights Statement","A statement about the intellectual property rights (IPR) held in or over a Resource, a legal document giving official permission to do something with a resource, or a statement about access rights."
"21","","1","SizeOrDuration","Size or Duration","A dimension or extent, or a time taken to play or execute."
"22","","1","Standard","Standard","A basis for comparison; a reference point against which other things can be evaluated."
"23","","2","Collection","Collection","An aggregation of resources."
"24","","2","Dataset","Dataset","Data encoded in a defined structure."
"25","","2","Event","Event","A non-persistent, time-based occurrence."
"26","","2","Image","Image","A visual representation other than text."
"27","","2","InteractiveResource","Interactive Resource","A resource requiring interaction from the user to be understood, executed, or experienced."
"28","","2","Service","Service","A system that provides one or more functions."
"29","","2","Software","Software","A computer program in source or compiled form."
"30","","2","Sound","Sound","A resource primarily intended to be heard."
"31","","2","Text","Text","A resource consisting primarily of words for reading."
"32","","2","PhysicalObject","Physical Object","An inanimate, three-dimensional object or substance."
"33","","2","StillImage","Still Image","A static visual representation."
"34","","2","MovingImage","Moving Image","A series of visual representations imparting an impression of motion when shown in succession."
"35","","3","AcademicArticle","Academic Article","A scholarly academic article, typically published in a journal."
"36","","3","Article","Article","A written composition in prose, usually nonfiction, on a specific topic, forming an independent part of a book or other publication, as a newspaper or magazine."
"37","","3","AudioDocument","audio document","An audio document; aka record."
"38","","3","AudioVisualDocument","audio-visual document","An audio-visual document; film, video, and so forth."
"39","","3","Bill","Bill","Draft legislation presented for discussion to a legal body."
"40","","3","Book","Book","A written or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers."
"41","","3","BookSection","Book Section","A section of a book."
"42","","3","Brief","Brief","A written argument submitted to a court."
"43","","3","Chapter","Chapter","A chapter of a book."
"44","","3","Code","Code","A collection of statutes."
"45","","3","CollectedDocument","Collected Document","A document that simultaneously contains other documents."
"46","","3","Collection","Collection","A collection of Documents or Collections"
"47","","3","Conference","Conference","A meeting for consultation or discussion."
"48","","3","CourtReporter","Court Reporter","A collection of legal cases."
"49","","3","Document","Document","A document (noun) is a bounded physical representation of body of information designed with the capacity (and usually intent) to communicate. A document may manifest symbolic, diagrammatic or sensory-representational information."
"50","","3","DocumentPart","document part","a distinct part of a larger document or collected document."
"51","","3","DocumentStatus","Document Status","The status of the publication of a document."
"52","","3","EditedBook","Edited Book","An edited book."
"53","","3","Email","EMail","A written communication addressed to a person or organization and transmitted electronically."
"54","","3","Event","Event",""
"55","","3","Excerpt","Excerpt","A passage selected from a larger work."
"56","","3","Film","Film","aka movie."
"57","","3","Hearing","Hearing","An instance or a session in which testimony and arguments are presented, esp. before an official, as a judge in a lawsuit."
"58","","3","Image","Image","A document that presents visual or diagrammatic information."
"59","","3","Interview","Interview","A formalized discussion between two or more people."
"60","","3","Issue","Issue","something that is printed or published and distributed, esp. a given number of a periodical"
"61","","3","Journal","Journal","A periodical of scholarly journal Articles."
"62","","3","LegalCaseDocument","Legal Case Document","A document accompanying a legal case."
"63","","3","LegalDecision","Decision","A document containing an authoritative determination (as a decree or judgment) made after consideration of facts or law."
"64","","3","LegalDocument","Legal Document","A legal document; for example, a court decision, a brief, and so forth."
"65","","3","Legislation","Legislation","A legal document proposing or enacting a law or a group of laws."
"66","","3","Letter","Letter","A written or printed communication addressed to a person or organization and usually transmitted by mail."
"67","","3","Magazine","Magazine","A periodical of magazine Articles. A magazine is a publication that is issued periodically, usually bound in a paper cover, and typically contains essays, stories, poems, etc., by many writers, and often photographs and drawings, frequently specializing in a particular subject or area, as hobbies, news, or sports."
"68","","3","Manual","Manual","A small reference book, especially one giving instructions."
"69","","3","Manuscript","Manuscript","An unpublished Document, which may also be submitted to a publisher for publication."
"70","","3","Map","Map","A graphical depiction of geographic features."
"71","","3","MultiVolumeBook","Multivolume Book","A loose, thematic, collection of Documents, often Books."
"72","","3","Newspaper","Newspaper","A periodical of documents, usually issued daily or weekly, containing current news, editorials, feature articles, and usually advertising."
"73","","3","Note","Note","Notes or annotations about a resource."
"74","","3","Patent","Patent","A document describing the exclusive right granted by a government to an inventor to manufacture, use, or sell an invention for a certain number of years."
"75","","3","Performance","Performance","A public performance."
"76","","3","Periodical","Periodical","A group of related documents issued at regular intervals."
"77","","3","PersonalCommunication","Personal Communication","A communication between an agent and one or more specific recipients."
"78","","3","PersonalCommunicationDocument","Personal Communication Document","A personal communication manifested in some document."
"79","","3","Proceedings","Proceedings","A compilation of documents published from an event, such as a conference."
"80","","3","Quote","Quote","An excerpted collection of words."
"81","","3","ReferenceSource","Reference Source","A document that presents authoritative reference information, such as a dictionary or encylopedia ."
"82","","3","Report","Report","A document describing an account or statement describing in detail an event, situation, or the like, usually as the result of observation, inquiry, etc.."
"83","","3","Series","Series","A loose, thematic, collection of Documents, often Books."
"84","","3","Slide","Slide","A slide in a slideshow"
"85","","3","Slideshow","Slideshow","A presentation of a series of slides, usually presented in front of an audience with written text and images."
"86","","3","Standard","Standard","A document describing a standard"
"87","","3","Statute","Statute","A bill enacted into law."
"88","","3","Thesis","Thesis","A document created to summarize research findings associated with the completion of an academic degree."
"89","","3","ThesisDegree","Thesis degree","The academic degree of a Thesis"
"90","","3","Webpage","Webpage","A web page is an online document available (at least initially) on the world wide web. A web page is written first and foremost to appear on the web, as distinct from other online resources such as books, manuscripts or audio documents which use the web primarily as a distribution mechanism alongside other more traditional methods such as print."
"91","","3","Website","Website","A group of Webpages accessible on the Web."
"92","","3","Workshop","Workshop","A seminar, discussion group, or the like, that emphasizes zxchange of ideas and the demonstration and application of techniques, skills, etc."
"93","","4","LabelProperty","Label Property","A foaf:LabelProperty is any RDF property with texual values that serve as labels."
"94","","4","Person","Person","A person."
"95","","4","Document","Document","A document."
"96","","4","Organization","Organization","An organization."
"97","","4","Group","Group","A class of Agents."
"98","","4","Agent","Agent","An agent (eg. person, group, software or physical artifact)."
"99","","4","Project","Project","A project (a collective endeavour of some kind)."
"100","","4","Image","Image","An image."
"101","","4","PersonalProfileDocument","PersonalProfileDocument","A personal profile RDF document."
"102","","4","OnlineAccount","Online Account","An online account."
"103","","4","OnlineGamingAccount","Online Gaming Account","An online gaming account."
"104","","4","OnlineEcommerceAccount","Online E-commerce Account","An online e-commerce account."
"105","","4","OnlineChatAccount","Online Chat Account","An online chat account."
